F;0;108;
J;446;95;
LeftShift;0;319;
a;222;96;
r;346;72;
@;790;103;
LeftShift;0;368;
S;1078;112;
LeftShift;0;303;
e;288;96;
6;1551;80;
9;120;79;
:
F;0;80;
J;1070;104;
LeftShift;0;335;
a;215;96;
r;273;79;
@;854;97;
LeftShift;0;584;
S;1384;128;
LeftShift;0;376;
LeftShift;0;136;
e;607;96;
6;1080;103;
9;119;72;
:
F;0;104;
J;503;96;
LeftShift;0;288;
a;207;88;
r;224;63;
@;503;160;
LeftShift;0;296;
S;1176;120;
LeftShift;0;312;
e;263;88;
6;1063;87;
9;135;88;
:
F;0;80;
J;384;79;
LeftShift;0;223;
a;191;88;
r;256;88;
@;583;104;
LeftShift;0;535;
S;2232;96;
LeftShift;0;272;
e;336;103;
6;1287;80;
9;127;80;
:
F;0;104;
J;423;80;
LeftShift;0;255;
a;191;88;
r;200;72;
@;463;136;
LeftShift;0;279;
LeftShift;0;183;
S;1584;121;
LeftShift;0;328;
e;335;88;
6;847;104;
9;168;88;
:
F;0;88;
J;480;103;
LeftShift;0;352;
a;215;80;
r;343;81;
@;551;104;
LeftShift;0;424;
S;807;112;
LeftShift;0;800;
e;752;96;
6;1087;96;
9;136;95;
:
F;0;80;
J;495;104;
LeftShift;0;328;
a;783;104;
r;384;64;
@;528;88;
LeftShift;0;351;
S;824;112;
LeftShift;0;272;
e;559;88;
6;799;87;
9;160;88;
:
F;0;88;
J;656;87;
LeftShift;0;216;
a;159;112;
r;447;88;
@;632;111;
LeftShift;0;424;
LeftShift;0;32;
S;2014;96;
LeftShift;0;424;
e;583;104;
6;992;95;
9;127;80;
:
F;0;87;
J;623;135;
LeftShift;0;464;
a;319;112;
r;391;80;
@;552;112;
LeftShift;0;424;
S;1623;119;
LeftShift;0;272;
e;343;88;
6;776;104;
9;144;88;
:
F;0;80;
J;607;87;
LeftShift;0;256;
a;224;128;
r;271;80;
@;488;80;
LeftShift;0;352;
S;664;136;
LeftShift;0;439;
e;903;80;
6;935;96;
9;191;80;
:
F;0;88;
J;432;96;
LeftShift;0;256;
a;232;151;
r;415;80;
@;711;96;
LeftShift;0;600;
S;968;96;
LeftShift;0;319;
e;255;88;
6;1279;112;
9;167;80;
:
F;0;112;
J;536;96;
LeftShift;0;311;
a;207;135;
r;447;88;
@;471;112;
LeftShift;0;352;
S;1016;129;
LeftShift;0;320;
e;768;80;
6;1543;79;
9;95;80;
:
F;0;72;
J;424;112;
LeftShift;0;280;
a;199;88;
r;256;80;
@;415;80;
LeftShift;0;303;
S;864;127;
LeftShift;0;343;
e;328;95;
6;1222;105;
9;167;80;
:
F;0;64;
J;671;111;
LeftShift;0;592;
a;751;80;
r;239;96;
@;504;104;
LeftShift;0;344;
S;1071;119;
LeftShift;0;263;
e;319;112;
6;735;96;
9;152;96;
:
F;0;81;
J;375;72;
LeftShift;0;191;
a;184;103;
r;367;72;
@;496;104;
LeftShift;0;320;
S;990;96;
LeftShift;0;280;
e;575;88;
LeftShift;0;168;
6;943;88;
9;144;80;
:
F;0;48;
J;360;103;
LeftShift;0;216;
a;191;103;
r;264;64;
@;495;80;
LeftShift;0;359;
S;639;104;
LeftShift;0;351;
e;287;56;
6;1160;88;
9;127;72;
:
F;0;104;
J;352;96;
LeftShift;0;222;
a;216;95;
r;254;88;
@;576;71;
LeftShift;0;400;
S;1047;96;
LeftShift;0;296;
e;311;88;
6;815;88;
9;175;48;
:
F;0;80;
J;407;111;
LeftShift;0;272;
a;207;96;
r;511;80;
@;960;81;
LeftShift;0;759;
S;1519;119;
LeftShift;0;887;
e;367;88;
6;672;103;
9;167;87;
:
F;0;96;
J;631;120;
LeftShift;0;312;
a;543;87;
r;263;80;
@;552;104;
S;431;104;
LeftShift;0;1232;
e;744;112;
6;831;96;
9;143;80;
:
F;0;96;
LeftShift;0;1712;
J;2375;87;
LeftShift;0;279;
a;191;104;
r;304;87;
@;439;88;
LeftShift;0;359;
S;1543;112;
LeftShift;0;759;
e;600;88;
6;943;88;
9;136;80;
:
F;0;64;
J;487;96;
LeftShift;0;368;
a;1312;96;
r;255;119;
@;559;96;
S;311;104;
LeftShift;0;816;
e;583;104;
6;816;103;
9;143;72;
:
F;0;80;
LeftShift;0;296;
J;1335;88;
LeftShift;0;272;
a;288;88;
r;375;72;
@;528;96;
S;320;104;
LeftShift;0;783;
LeftShift;0;167;
e;615;96;
6;855;96;
9;120;80;
:
F;0;88;
J;887;104;
LeftShift;0;312;
a;295;112;
r;495;80;
@;576;96;
LeftShift;0;400;
S;702;112;
LeftShift;0;687;
e;944;96;
6;615;88;
9;152;96;
:
F;0;104;
J;943;96;
LeftShift;0;280;
a;264;104;
r;384;96;
@;607;113;
LeftShift;0;423;
S;1344;112;
LeftShift;0;752;
e;783;96;
6;1799;88;
9;95;80;
:
F;0;103;
J;742;103;
LeftShift;0;248;
a;551;120;
r;279;88;
@;503;96;
S;336;104;
LeftShift;0;863;
e;759;120;
6;640;96;
9;160;104;
:
F;0;88;
J;367;104;
LeftShift;0;248;
a;208;112;
r;247;104;
@;535;96;
LeftShift;0;376;
S;936;120;
LeftShift;0;368;
e;798;88;
6;688;104;
9;135;96;
:
F;0;96;
J;1207;104;
LeftShift;0;271;
a;232;96;
r;239;96;
@;464;97;
LeftShift;0;385;
S;895;112;
LeftShift;0;304;
e;295;104;
6;648;88;
9;136;88;
:
F;0;104;
J;400;88;
LeftShift;0;280;
a;191;135;
r;231;88;
@;432;96;
LeftShift;0;295;
S;1983;120;
LeftShift;0;1296;
e;327;104;
6;1055;104;
9;160;88;
:
F;0;72;
J;423;88;
LeftShift;0;264;
a;169;103;
r;238;72;
@;415;88;
LeftShift;0;287;
S;808;104;
LeftShift;0;456;
e;799;89;
6;832;88;
9;143;88;
:
F;0;88;
J;407;104;
LeftShift;0;248;
a;216;104;
r;240;87;
@;536;97;
LeftShift;0;416;
S;934;120;
LeftShift;0;319;
e;1576;104;
6;575;87;
9;136;87;
:
F;0;72;
LeftShift;0;584;
J;1487;104;
LeftShift;0;311;
a;312;104;
