F;0;46;
J;300;64;
LeftShift;0;208;
a;225;63;
r;255;48;
@;447;79;
LeftShift;0;320;
S;671;96;
LeftShift;0;224;
e;384;31;
6;575;47;
9;319;64;
:
F;0;80;
J;383;48;
LeftShift;0;223;
a;256;80;
r;319;48;
@;816;79;
S;271;63;
LeftShift;0;975;
e;367;48;
6;559;48;
9;143;64;
:
F;0;63;
J;383;64;
LeftShift;0;255;
a;320;63;
r;239;47;
@;480;95;
LeftShift;0;383;
S;751;96;
LeftShift;0;207;
e;352;64;
6;415;48;
9;159;47;
:
F;0;79;
J;351;48;
LeftShift;0;207;
a;224;80;
r;287;63;
@;671;64;
S;239;80;
LeftShift;0;591;
e;559;47;
6;464;47;
9;399;31;
:
F;0;63;
J;287;64;
LeftShift;0;239;
a;272;63;
r;255;48;
@;383;80;
S;255;112;
LeftShift;0;527;
e;368;47;
6;351;63;
9;191;48;
:
F;0;48;
J;639;48;
LeftShift;0;240;
a;223;80;
r;255;64;
@;784;79;
S;239;79;
LeftShift;0;831;
e;352;64;
6;495;48;
9;319;48;
:
F;0;64;
J;368;47;
LeftShift;0;288;
a;239;64;
r;240;48;
@;687;64;
S;240;80;
LeftShift;0;688;
e;303;48;
6;592;48;
9;223;31;
:
F;0;64;
J;316;47;
LeftShift;0;239;
a;239;64;
r;223;64;
@;688;63;
S;223;112;
LeftShift;0;624;
e;288;48;
6;527;79;
9;223;48;
:
F;0;63;
J;303;48;
LeftShift;0;191;
a;207;80;
r;272;64;
@;640;64;
S;224;80;
LeftShift;0;656;
e;255;64;
6;368;64;
9;191;48;
:
F;0;63;
J;287;64;
LeftShift;0;176;
a;192;63;
r;271;64;
@;447;64;
S;208;80;
LeftShift;0;512;
e;303;48;
6;464;47;
9;175;64;
:
F;0;64;
J;304;48;
LeftShift;0;224;
a;255;64;
r;272;48;
@;560;48;
S;192;96;
LeftShift;0;480;
e;319;64;
6;432;64;
9;207;64;
:
F;0;80;
J;383;47;
LeftShift;0;207;
a;207;64;
r;224;47;
@;335;79;
S;240;80;
LeftShift;0;528;
e;367;64;
6;447;48;
9;255;48;
:
F;0;48;
J;319;47;
LeftShift;0;239;
a;272;79;
r;271;47;
@;543;80;
S;255;96;
LeftShift;0;703;
e;671;48;
6;543;63;
9;127;32;
:
F;0;64;
J;352;63;
LeftShift;0;240;
a;319;64;
r;239;64;
@;784;80;
S;255;79;
LeftShift;0;527;
e;351;47;
6;319;64;
9;176;31;
:
F;0;48;
J;287;64;
LeftShift;0;176;
a;223;64;
r;224;63;
@;415;80;
S;224;80;
LeftShift;0;559;
e;319;63;
6;560;63;
9;223;47;
:
F;0;63;
J;320;47;
LeftShift;0;207;
a;255;63;
r;239;64;
@;528;64;
S;240;63;
LeftShift;0;591;
e;352;47;
6;383;31;
9;287;48;
:
F;0;47;
J;287;64;
LeftShift;0;207;
a;223;63;
r;272;48;
@;687;48;
S;208;80;
LeftShift;0;576;
e;432;63;
6;688;47;
9;207;31;
:
F;0;64;
J;336;47;
LeftShift;0;223;
a;223;64;
r;288;64;
@;464;95;
S;255;80;
LeftShift;0;592;
e;319;48;
6;368;64;
9;143;48;
:
F;0;48;
J;496;47;
LeftShift;0;255;
a;367;47;
r;224;63;
@;399;80;
S;224;79;
LeftShift;0;495;
e;479;48;
6;383;48;
9;160;47;
:
F;0;47;
J;287;48;
LeftShift;0;207;
a;239;47;
r;240;64;
@;431;64;
S;240;96;
LeftShift;0;608;
e;415;64;
6;560;47;
9;239;48;
:
F;0;48;
J;304;64;
LeftShift;0;191;
a;240;47;
r;207;63;
@;576;80;
LeftShift;0;543;
LeftShift;0;31;
S;687;80;
LeftShift;0;256;
e;320;47;
6;464;47;
9;191;47;
:
F;0;64;
J;335;48;
LeftShift;0;239;
a;304;63;
r;303;63;
@;495;64;
S;240;79;
LeftShift;0;719;
e;463;48;
6;384;47;
9;207;48;
:
F;0;64;
J;287;48;
LeftShift;0;175;
a;224;63;
r;272;63;
@;415;47;
S;256;63;
LeftShift;0;623;
e;303;64;
6;336;63;
9;223;32;
:
F;0;47;
J;287;64;
LeftShift;0;191;
a;207;64;
r;304;64;
@;384;80;
S;240;96;
LeftShift;0;543;
e;319;47;
6;335;16;
9;608;48;
:
F;0;64;
J;271;48;
LeftShift;0;175;
a;208;64;
r;224;47;
@;399;80;
S;224;63;
LeftShift;0;544;
e;383;64;
6;352;64;
9;879;63;
:
F;0;63;
J;367;48;
LeftShift;0;208;
a;224;47;
r;223;47;
@;447;63;
S;191;80;
LeftShift;0;528;
e;448;48;
6;671;48;
9;224;47;
:
F;0;63;
J;335;32;
LeftShift;0;191;
a;207;64;
r;240;64;
@;384;63;
S;207;96;
LeftShift;0;480;
e;287;48;
6;480;48;
9;128;47;
:
F;0;63;
J;319;64;
LeftShift;0;224;
a;256;48;
r;240;63;
@;447;79;
S;303;63;
LeftShift;0;655;
e;367;48;
6;239;48;
9;208;47;
:
F;0;31;
J;287;48;
LeftShift;0;159;
a;240;63;
r;271;79;
@;991;95;
S;224;96;
LeftShift;0;464;
e;287;63;
6;351;63;
9;175;48;
:
F;0;64;
J;335;48;
LeftShift;0;175;
a;192;64;
r;239;64;
@;544;63;
S;207;80;
LeftShift;0;656;
e;255;48;
6;304;47;
9;223;32;
:
F;0;64;
J;274;64;
LeftShift;0;175;
a;236;47;
r;208;80;
@;927;63;
S;223;64;
LeftShift;0;384;
e;800;80;
6;479;63;
9;175;64;
:
F;0;64;
J;303;64;
LeftShift;0;176;
a;191;80;
r;224;48;
@;527;64;
LeftShift;0;207;
S;511;95;
LeftShift;0;320;
LeftShift;0;144;
e;1008;63;
