F;0;131;
Capital;0;123;
J;284;110;
Capital;0;74;
a;263;108;
r;147;109;
@;341;115;
RightShift;0;222;
Capital;0;135;
S;653;104;
Capital;0;110;
e;394;110;
6;850;94;
9;140;79;
:
F;0;103;
Capital;0;112;
J;348;94;
Capital;0;92;
a;294;113;
r;131;121;
@;315;89;
RightShift;0;204;
Capital;0;116;
S;468;114;
Capital;0;121;
e;261;107;
6;997;106;
9;344;77;
:
F;0;117;
Capital;0;108;
J;704;82;
Capital;0;133;
a;324;135;
r;165;92;
@;289;92;
RightShift;0;189;
Capital;0;143;
S;465;176;
Capital;0;130;
e;322;121;
6;636;106;
9;198;93;
:
F;0;134;
Capital;0;118;
J;358;83;
Capital;0;104;
a;292;141;
r;172;113;
@;328;100;
RightShift;0;208;
Capital;0;123;
S;574;153;
Capital;0;157;
e;353;109;
6;907;98;
9;102;92;
:
F;0;119;
Capital;0;108;
J;361;86;
Capital;0;96;
a;298;133;
r;173;129;
@;299;101;
RightShift;0;194;
S;471;136;
Capital;0;159;
Capital;0;125;
e;274;117;
6;969;136;
9;164;82;
:
F;0;107;
Capital;0;114;
J;618;75;
Capital;0;91;
a;261;133;
r;178;110;
@;274;94;
RightShift;0;158;
Capital;0;125;
S;464;120;
Capital;0;140;
e;329;107;
6;779;88;
9;186;92;
:
F;0;109;
Capital;0;108;
J;533;78;
Capital;0;89;
a;258;116;
r;150;107;
@;319;93;
RightShift;0;202;
Capital;0;157;
S;600;127;
Capital;0;122;
e;301;119;
6;848;97;
9;173;77;
:
F;0;112;
Capital;0;111;
J;292;88;
Capital;0;97;
a;278;127;
r;185;104;
@;328;87;
RightShift;0;238;
Capital;0;124;
S;1066;109;
Capital;0;141;
e;367;106;
6;1800;99;
9;317;106;
:
F;0;117;
Capital;0;122;
J;283;95;
Capital;0;93;
a;286;142;
r;212;101;
@;293;101;
RightShift;0;221;
Capital;0;132;
S;489;148;
Capital;0;138;
e;358;106;
6;702;108;
9;150;91;
:
F;0;107;
Capital;0;121;
J;676;81;
Capital;0;92;
a;297;158;
r;253;94;
@;341;89;
RightShift;0;207;
Capital;0;108;
S;1589;109;
Capital;0;132;
e;268;114;
6;890;99;
9;115;76;
:
F;0;126;
Capital;0;113;
J;268;94;
Capital;0;95;
a;315;136;
r;150;123;
@;316;112;
RightShift;0;244;
Capital;0;123;
S;593;147;
Capital;0;138;
e;315;124;
6;551;113;
9;154;85;
:
F;0;132;
Capital;0;107;
J;307;90;
Capital;0;103;
a;293;146;
r;214;105;
@;316;88;
RightShift;0;214;
Capital;0;128;
S;444;131;
Capital;0;143;
e;324;113;
6;744;106;
9;147;77;
:
F;0;101;
Capital;0;115;
J;561;69;
Capital;0;90;
a;285;145;
r;187;112;
@;391;103;
RightShift;0;251;
Capital;0;130;
S;656;139;
Capital;0;118;
e;446;100;
6;947;112;
9;193;62;
:
F;0;114;
Capital;0;111;
J;343;77;
Capital;0;85;
a;259;148;
r;215;87;
@;397;104;
RightShift;0;247;
Capital;0;107;
S;707;122;
Capital;0;103;
e;506;140;
6;1057;102;
9;143;77;
:
F;0;118;
Capital;0;102;
J;342;83;
Capital;0;104;
a;569;138;
r;136;117;
@;410;100;
RightShift;0;202;
Capital;0;111;
