F;0;65;
J;237;66;
LeftShift;0;252;
a;704;133;
r;314;92;
@;510;115;
LeftShift;0;451;
S;687;131;
LeftShift;0;268;
e;327;90;
6;1199;88;
9;168;57;
:
F;0;79;
J;257;53;
LeftShift;0;230;
a;264;115;
r;98;122;
@;940;116;
LeftShift;0;524;
LeftShift;0;109;
LeftShift;0;24;
S;990;75;
LeftShift;0;854;
e;949;81;
6;1151;87;
9;141;65;
Return;0;129;
:
F;0;70;
J;266;55;
LeftShift;0;221;
a;209;162;
r;122;95;
@;1003;108;
LeftShift;0;557;
S;857;81;
LeftShift;0;238;
e;373;105;
6;873;73;
9;97;56;
:
F;0;81;
J;299;51;
LeftShift;0;303;
a;225;106;
r;73;118;
@;598;109;
LeftShift;0;323;
S;791;85;
LeftShift;0;296;
e;310;88;
6;641;51;
9;488;49;
:
F;0;88;
J;268;55;
LeftShift;0;201;
a;215;119;
r;95;97;
@;734;90;
LeftShift;0;300;
S;681;105;
LeftShift;0;266;
e;249;69;
6;531;49;
9;394;56;
:
F;0;91;
J;265;62;
LeftShift;0;290;
a;268;122;
r;96;97;
@;527;135;
LeftShift;0;360;
S;485;153;
LeftShift;0;292;
e;326;71;
6;710;53;
9;479;55;
:
F;0;66;
J;220;56;
LeftShift;0;245;
a;233;128;
r;94;104;
@;570;106;
LeftShift;0;288;
S;681;108;
LeftShift;0;288;
e;261;83;
6;674;43;
9;384;40;
:
F;0;71;
J;258;51;
LeftShift;0;215;
a;218;96;
r;67;96;
@;550;83;
LeftShift;0;353;
S;1206;53;
LeftShift;0;289;
e;398;90;
6;447;51;
9;437;61;
Return;0;48;
:
F;0;53;
J;343;52;
LeftShift;0;263;
a;212;113;
r;83;102;
@;534;91;
LeftShift;0;282;
S;825;76;
LeftShift;0;235;
e;277;58;
6;453;46;
9;433;50;
:
F;0;123;
J;373;51;
LeftShift;0;284;
a;231;100;
r;83;86;
@;1139;112;
LeftShift;0;808;
S;889;93;
LeftShift;0;268;
e;255;61;
6;405;42;
9;488;41;
:
F;0;78;
J;677;58;
LeftShift;0;647;
a;330;134;
r;107;108;
@;599;90;
LeftShift;0;359;
S;712;74;
LeftShift;0;317;
e;315;60;
6;442;48;
9;438;40;
:
F;0;83;
J;996;51;
LeftShift;0;270;
a;396;115;
r;100;96;
@;563;107;
LeftShift;0;267;
S;437;80;
LeftShift;0;271;
e;274;84;
6;633;46;
9;503;48;
:
F;0;86;
J;1212;58;
LeftShift;0;1087;
a;242;146;
r;97;105;
@;985;69;
S;598;80;
LeftShift;0;1569;
e;509;68;
6;633;59;
9;431;34;
:
F;0;74;
J;244;56;
LeftShift;0;247;
a;267;112;
r;90;89;
@;412;113;
S;331;110;
LeftShift;0;708;
e;320;73;
6;857;42;
9;652;58;
Return;0;58;
:
F;0;66;
J;247;56;
LeftShift;0;178;
a;212;128;
r;101;68;
@;673;92;
LeftShift;0;444;
S;712;85;
LeftShift;0;266;
e;450;58;
6;504;44;
9;422;45;
:
F;0;46;
J;284;53;
LeftShift;0;219;
a;236;116;
r;93;73;
@;321;100;
S;327;76;
LeftShift;0;627;
e;348;56;
6;1118;36;
9;442;47;
:
F;0;50;
J;320;52;
LeftShift;0;309;
a;251;104;
r;91;69;
@;342;102;
S;302;90;
LeftShift;0;854;
e;1113;38;
6;1232;42;
9;501;47;
:
F;0;84;
J;271;53;
LeftShift;0;249;
a;255;122;
r;90;93;
@;312;114;
S;323;82;
LeftShift;0;608;
e;580;65;
6;529;45;
9;417;54;
:
F;0;70;
J;297;53;
LeftShift;0;265;
a;235;138;
r;107;67;
@;368;105;
LeftShift;0;537;
S;778;84;
LeftShift;0;457;
e;631;74;
6;715;49;
9;401;58;
:
F;0;97;
J;298;46;
LeftShift;0;226;
a;219;141;
r;117;78;
@;336;97;
LeftShift;0;353;
S;710;107;
LeftShift;0;285;
e;331;54;
6;622;46;
9;436;39;
:
F;0;67;
J;278;49;
LeftShift;0;251;
a;275;120;
r;62;93;
@;915;122;
S;515;81;
LeftShift;0;930;
e;516;59;
6;836;45;
9;437;56;
:
F;0;74;
J;321;54;
LeftShift;0;302;
a;287;178;
r;139;99;
@;543;78;
S;388;82;
LeftShift;0;713;
e;358;71;
6;789;31;
9;407;24;
:
F;0;41;
J;242;59;
LeftShift;0;224;
a;222;148;
r;118;88;
@;563;95;
S;272;83;
LeftShift;0;560;
e;676;66;
6;507;44;
9;421;53;
:
F;0;67;
J;274;59;
LeftShift;0;245;
a;263;120;
r;91;71;
@;359;130;
LeftShift;0;447;
S;573;92;
LeftShift;0;269;
e;292;74;
6;856;51;
9;435;46;
:
F;0;52;
J;248;53;
LeftShift;0;253;
a;238;112;
r;71;88;
@;946;101;
LeftShift;0;378;
S;1561;92;
LeftShift;0;260;
e;281;52;
6;541;47;
9;478;49;
:
F;0;84;
J;856;54;
LeftShift;0;738;
a;210;112;
r;94;72;
@;284;108;
S;622;91;
LeftShift;0;961;
e;488;55;
6;557;50;
9;460;48;
:
F;0;40;
J;337;57;
LeftShift;0;279;
a;290;77;
r;85;64;
@;734;73;
S;548;58;
LeftShift;0;794;
e;337;77;
6;545;43;
9;312;46;
:
F;0;62;
J;219;56;
LeftShift;0;226;
a;236;110;
r;98;80;
@;375;110;
S;830;53;
LeftShift;0;1165;
e;341;61;
6;890;44;
9;315;59;
