F;0;110;
J;329;130;
RightShift;0;286;
a;180;100;
r;1152;75;
@;1964;105;
S;683;100;
RightShift;0;1738;
e;919;79;
6;1103;136;
9;173;97;
Return;0;110;
:
F;0;70;
J;567;110;
RightShift;0;598;
a;446;161;
r;577;105;
@;2658;95;
S;583;135;
RightShift;0;1055;
e;406;140;
6;904;130;
9;155;95;
:
F;0;85;
J;486;146;
RightShift;0;793;
a;668;120;
r;186;105;
@;2326;74;
RightShift;0;783;
S;984;105;
RightShift;0;305;
e;397;80;
6;1251;65;
9;110;85;
:
F;0;70;
J;326;110;
RightShift;0;351;
a;472;120;
r;331;105;
@;883;100;
S;282;105;
RightShift;0;652;
e;471;125;
6;1165;126;
9;121;120;
:
F;0;75;
J;1261;105;
RightShift;0;1351;
a;979;135;
r;311;85;
@;1447;85;
S;301;70;
RightShift;0;959;
e;377;105;
6;873;91;
9;101;90;
:
F;0;85;
J;371;105;
RightShift;0;377;
a;543;85;
r;230;95;
@;829;84;
S;236;115;
RightShift;0;854;
e;2095;80;
6;2160;105;
9;90;95;
:
F;0;100;
J;468;110;
RightShift;0;382;
a;280;111;
r;196;90;
@;2311;85;
S;668;130;
RightShift;0;1054;
e;571;120;
6;1729;90;
9;110;91;
:
F;0;100;
J;899;100;
RightShift;0;386;
a;255;100;
r;231;105;
@;1170;90;
S;257;78;
RightShift;0;633;
e;401;75;
6;1175;90;
9;85;89;
:
F;0;70;
J;582;115;
RightShift;0;557;
a;732;121;
r;226;95;
@;1383;84;
RightShift;0;350;
S;782;95;
RightShift;0;270;
e;241;125;
6;919;91;
9;100;90;
:
F;0;80;
J;336;95;
RightShift;0;226;
a;190;105;
r;240;111;
@;819;108;
RightShift;0;371;
S;678;125;
RightShift;0;321;
e;673;90;
6;1070;89;
9;74;101;
:
F;0;90;
J;380;100;
RightShift;0;406;
a;367;80;
r;231;130;
@;989;90;
S;241;85;
RightShift;0;1085;
e;386;84;
6;870;94;
9;99;80;
:
F;0;90;
J;461;110;
RightShift;0;381;
a;417;120;
r;291;140;
@;538;95;
S;230;89;
RightShift;0;642;
e;1099;90;
6;1190;75;
9;85;115;
:
F;0;105;
J;718;130;
RightShift;0;653;
a;240;100;
r;206;100;
@;819;85;
S;220;120;
RightShift;0;588;
e;361;90;
6;898;116;
9;211;105;
:
F;0;75;
J;708;110;
RightShift;0;668;
a;296;125;
r;305;116;
@;779;95;
S;236;130;
RightShift;0;612;
e;397;90;
6;993;101;
9;136;85;
:
F;0;100;
J;1316;145;
RightShift;0;311;
a;647;120;
r;205;65;
@;1327;100;
S;291;100;
RightShift;0;522;
e;406;145;
6;758;90;
9;95;80;
:
F;0;105;
J;532;120;
RightShift;0;432;
a;236;95;
r;191;110;
@;879;105;
S;242;129;
RightShift;0;487;
e;319;80;
6;834;80;
9;146;80;
:
F;0;90;
J;351;110;
RightShift;0;210;
a;230;114;
r;235;145;
@;2487;109;
S;486;115;
